,T_outside,Q_internal,Q_hvac,Q_hvac_heat,Q_solar,T_room,m_dot,T_dis,P_chiller,P_fan
0,16.133333333333336,2.483977205325463,-6.259080616530922,0.0,0.0,20.33794937454966,0.8110006127553587,12.777841963424475,2.068187985044441,0.0
1,16.066666666666666,2.483977205325463,-6.247916110721208,0.0,0.0,20.32441392693651,0.8110006127553587,12.777851382617776,2.0738963588326804,0.0
2,16.0,2.483977205325463,-6.236473712830991,0.0,0.0,20.310449735267223,0.8110006127553587,12.777860492437284,2.0792251811668496,0.0
3,15.933333333333335,2.483977205325463,-6.2249856391984,0.0,0.0,20.296327542488964,0.8110006127553587,12.777869188025663,2.084159703052099,0.0
4,15.866666666666665,2.483977205325463,-6.213606705280542,0.0,0.0,20.282235725987466,0.8110006127553587,12.777877450285487,2.0886781378435773,0.0
5,15.8,2.483977205325463,-6.2023262654778755,0.0,0.0,20.268165732649134,0.8110006127553587,12.777885326013749,2.0927825393377515,0.0
6,15.733333333333334,2.483977205325463,-6.191112955311697,0.0,0.0,20.254083661602483,0.8110006127553587,12.777892734217719,2.096437665198763,0.0
7,15.666666666666664,2.483977205325463,-6.179952796899868,0.0,0.0,20.23997610329346,0.8110006127553587,12.777899722158335,2.0996327252686235,0.0
8,15.600000000000003,2.483977205325463,-6.168842475115144,0.0,0.0,20.22584606802198,0.8110006127553587,12.777910228847652,2.10417541417869,0.0
9,15.533333333333335,2.483977205325463,-6.157790176479325,0.0,0.0,20.211699973483377,0.8110006127553587,12.777917055180561,2.1083961357176677,0.0
10,15.466666666666667,2.483977205325463,-6.146794987983117,0.0,0.0,20.197543281345823,0.8110006127553587,12.777923255007723,2.1121900085757934,0.0
11,15.4,2.483977205325463,-6.135848323193369,0.0,0.0,20.18336902237451,0.8110006127553587,12.77792898951575,2.115536680524242,0.0
12,15.308333333333335,2.483977205325463,-6.125313479687745,0.0,0.0,20.16997419842193,0.8110006127553587,12.778290093039564,2.0290300859545556,0.0
13,15.216666666666667,2.483977205325463,-6.1158084089328355,0.0,0.0,20.157484931162234,0.8110006127553587,12.778282702899059,1.9449956006885942,0.0
14,15.125,2.483977205325463,-6.106711703026423,0.0,0.0,20.145582713441744,0.8110006127553587,12.778274683372882,1.863290936754184,0.0
15,15.033333333333335,2.483977205325463,-6.097733964093278,0.0,0.0,20.133941217916856,0.8110006127553587,12.778269917061277,1.7856231432413565,0.0
16,14.941666666666668,2.483977205325463,-6.088746428830271,0.0,0.0,20.122395699226377,0.8110006127553587,12.778260298296646,1.709703628167443,0.0
17,14.850000000000003,2.483977205325463,-6.079720556159476,0.0,0.0,20.110909217894815,0.8110006127553587,12.77825019493382,1.6354704506665956,0.0
18,14.758333333333333,2.483977205325463,-6.070670461149905,0.0,0.0,20.099492284465725,0.8110006127553587,12.778239699805965,1.5628823528700253,0.0
19,14.666666666666668,2.483977205325463,-6.061609426605044,0.0,0.0,20.088155667016178,0.8110006127553587,12.778228859518515,1.4918950738180183,0.0
20,14.575,2.483977205325463,-6.05254091421783,0.0,0.0,20.07689917781182,0.8110006127553587,12.778217726522572,1.422465424668397,0.0
21,14.483333333333334,2.483977205325463,-6.0434632880411465,0.0,0.0,20.065716892758545,0.8110006127553587,12.778206351334724,1.3545513284661042,0.0
22,14.391666666666667,2.483977205325463,-6.034374510673495,0.0,0.0,20.05460258786756,0.8110006127553587,12.778194782370884,1.2881117843484404,0.0
23,14.3,2.483977205325463,-6.025274124841059,0.0,0.0,20.0435520671108,0.8110006127553587,12.778183065882475,1.22310681131096,0.0
24,14.2,2.483977205325463,-6.016210171065519,0.0,0.0,20.03243419868529,0.8110006127553587,12.777985643775425,1.171622982607417,0.0
25,14.100000000000003,2.483977205325463,-6.0068959797361465,0.0,0.0,20.021231531391184,0.8110006127553587,12.777978074832896,1.1196672239993257,0.0
26,14.000000000000002,2.483977205325463,-5.997556799496877,0.0,0.0,20.009996204412758,0.8110006127553587,12.777970266105768,1.0673412266373459,0.0
27,13.900000000000004,2.483977205325463,-5.988234816709463,0.0,0.0,19.99876920016772,0.8110006127553587,12.777962121559494,1.0146453959078912,0.0
28,13.8,2.483977205325463,-5.978947582218045,0.0,0.0,19.987571098048605,0.8110006127553587,12.777953635595768,0.9615802298985351,0.0
29,13.7,2.483977205325463,-5.969696072770686,0.0,0.0,19.976404759965664,0.8110006127553587,12.777944804833805,0.9081462019853245,0.0
30,13.6,2.483977205325463,-5.960476327685325,0.0,0.0,19.965266828855885,0.8110006127553587,12.777935624633264,0.8543438794496331,0.0
31,13.5,2.483977205325463,-5.951285624703727,0.0,0.0,19.95415484303366,0.8110006127553587,12.777926090802131,0.8001738853137285,0.0
32,13.4,2.483977205325463,-5.94212311347767,0.0,0.0,19.94306825449435,0.8110006127553587,12.777916199629285,0.7456368804212785,0.0
33,13.3,2.483977205325463,-5.932988866100977,0.0,0.0,19.93200750771402,0.8110006127553587,12.777905946133433,0.6907336551232777,0.0
34,13.2,2.483977205325463,-5.923882833679537,0.0,0.0,19.920972882372496,0.8110006127553587,12.777895327584035,0.6354649916646539,0.0
35,13.1,2.483977205325463,-5.91480476407138,0.0,0.0,19.909964411999464,0.8110006127553587,12.77788433997932,0.5798317596391566,0.0
36,13.008333333333333,2.483977205325463,-5.905649091519798,0.0,0.0,19.89903203920809,0.8110006127553587,12.778049898787646,0.5216906111814389,0.0
37,12.916666666666664,2.483977205325463,-5.896680030990615,0.0,0.0,19.88817912393126,0.8110006127553587,12.77803714508376,0.4646080930144349,0.0
38,12.825,2.483977205325463,-5.887713338784457,0.0,0.0,19.87738553961624,0.8110006127553587,12.778024448490303,0.40867474446880353,0.0
39,12.733333333333334,2.483977205325463,-5.87872919041924,0.0,0.0,19.866633772029225,0.8110006127553587,12.778011952574909,0.35388167040485485,0.0
40,12.641666666666666,2.483977205325463,-5.869722752200879,0.0,0.0,19.855916127284004,0.8110006127553587,12.777999684272213,0.3001987752802753,0.0
41,12.55,2.483977205325463,-5.860696256609229,0.0,0.0,19.84523149708577,0.8110006127553587,12.777987666079442,0.24759665071621248,0.0
42,12.458333333333332,2.483977205325463,-5.851653088975327,0.0,0.0,19.834580486501434,0.8110006127553587,12.777975918757052,0.19604656189439537,0.0
43,12.366666666666667,2.483977205325463,-5.842595805587506,0.0,0.0,19.82396331824099,0.8110006127553587,12.777964461349235,0.14552042605130888,0.0
44,12.275,2.483977205325463,-5.833525960837757,0.0,0.0,19.813379393596,0.8110006127553587,12.77795331123725,0.09599079847189822,0.0
45,12.183333333333335,2.483977205325463,-5.750099197445673,0.0,0.0,19.804264786872853,0.8110006127553587,12.86904889364032,0.0,0.0
46,12.091666666666667,2.483977205325463,-5.817179378201832,0.0,0.0,19.79414356140327,0.8110006127553587,12.777571954782902,0.0,0.0
47,12.0,2.483977205325463,-5.882372049876041,0.0,0.0,19.781800037104247,0.8110006127553587,12.686093177765544,0.0,0.0
48,12.0,2.6774670766629387,-5.875381703614749,0.0,0.0,19.773919647824158,0.8110006127553587,12.686094222016301,0.0,0.0
49,12.0,2.6774670766629387,-5.870684729410362,0.0,0.0,19.76881752833598,0.8110006127553587,12.686095266056274,0.0,0.0
