,T_outside,Q_internal,Q_solar,Q_hvac,T_room_rom,T_room_EP
0,27.059999999999995,8.250581953293512,0.0,-82.28897281265706,23.77614355803439,23.78880659754299
1,26.826666666666664,8.250581953293512,0.0,-74.91913716428124,23.566364660055395,23.65014957279643
2,26.593333333333334,8.250581953293512,0.0,-79.17230187898289,23.64524516930394,23.664965296616078
3,26.360000000000003,8.250581953293512,0.0,-79.00777556778156,23.445936669337488,23.66666383878648
4,26.126666666666665,8.250581953293512,0.0,-78.6067038184959,23.62251735539149,23.666662526904993
5,25.893333333333334,8.250581953293512,0.0,-78.20842801971767,23.425528473134737,23.666662221617194
6,25.659999999999997,8.250581953293512,0.0,-58.77218236652375,23.69400424412088,23.761123186867415
7,25.426666666666666,8.250581953293512,0.0,-94.29123955524801,23.55016630396863,23.67363788767729
8,25.193333333333335,8.250581953293512,0.0,-76.8357989904093,23.636514967999805,23.6581021340076
9,24.96,8.250581953293512,0.0,-76.63540372851551,23.443847750670827,23.66537444324151
10,24.726666666666667,8.250581953293512,0.0,-76.3391899908173,23.622100293486874,23.666663429190884
11,24.493333333333332,8.250581953293512,0.0,-75.93015356204042,23.43115197782834,23.6666629711333
12,24.389999999999997,8.250581953293512,0.0,-61.71847107968664,23.63141962743344,23.681486539834715
13,24.37333333333334,8.250581953293512,0.0,-84.79652128938407,23.481050938579898,23.750302914156997
14,24.356666666666666,8.250581953293512,0.0,-77.55152284103175,23.61566516012593,23.649318715512436
15,24.340000000000003,8.250581953293512,0.0,-74.79091962543444,23.426051530400517,23.655539372144414
16,24.32333333333333,8.250581953293512,0.0,-74.49461815504951,23.612682714733776,23.659340510817092
17,24.306666666666665,8.250581953293512,0.0,-74.20827509691794,23.435354367369428,23.66158836507325
18,24.29,8.250581953293512,0.0,-73.9303305885337,23.61730349873348,23.662790781574493
19,24.273333333333333,8.250581953293512,0.0,-72.19384147151511,23.445182534120985,23.764790277743153
20,24.256666666666668,8.250581953293512,0.0,-73.04600226598055,23.6066151965945,23.64697336221288
21,24.24,8.250581953293512,0.0,-72.728137823159,23.440557947084013,23.649544564850714
22,24.223333333333336,8.250581953293512,0.0,-72.07652377736838,23.60736463636393,23.649066308683906
23,24.206666666666667,8.250581953293512,0.0,-71.802333521876,23.44733202105985,23.64792119243925
24,24.195,8.250581953293512,0.0,-71.51809764885493,23.606757153263683,23.64661343631464
25,24.186666666666667,8.250581953293512,0.0,-45.20339037072703,23.451540994489534,23.694038528532005
26,24.178333333333335,8.250581953293512,0.0,-93.9786614071512,23.722516019001567,23.790259775129577
27,24.17,8.250581953293512,0.0,-68.94980285786141,23.509115121543413,23.642170561242576
28,24.16166666666667,8.250581953293512,0.0,-70.61497452766571,23.614168159701848,23.640431419241455
29,24.153333333333336,8.250581953293512,0.0,-70.26825426895394,23.46914313848811,23.637949444602132
30,24.145,8.250581953293512,0.0,-69.93899477020383,23.602174138327285,23.63543188828708
31,24.136666666666667,8.250581953293512,0.0,-69.62528987242331,23.462077483897886,23.632874725012563
32,24.128333333333337,8.250581953293512,0.0,-42.84721361370439,23.723679773783694,23.789080346255147
33,24.120000000000005,8.250581953293512,0.0,-90.82645365274122,23.658185591641466,23.67175265249633
34,24.111666666666668,8.250581953293512,0.0,-68.3875490508884,23.641826220830627,23.637736378127915
35,24.103333333333335,8.250581953293512,0.0,-68.6252507730397,23.50958179155672,23.632019429119595
36,24.090000000000003,8.250581953293512,0.0,-68.34206370395131,23.60366544640132,23.627186360112468
37,24.073333333333334,8.250581953293512,0.0,-68.1053898320408,23.474509016040873,23.623177290160978
38,24.056666666666672,8.250581953293512,0.0,-55.5326364738195,23.60113915812516,23.63279669364623
39,24.04,8.250581953293512,0.0,-80.96591613143717,23.508872643694122,23.79137144655852
40,24.023333333333333,8.250581953293512,0.0,-61.64433489879669,23.603789871191967,23.62751917806643
41,24.006666666666668,8.250581953293512,0.0,-67.60214402188748,23.496641250427803,23.623875615159022
42,23.99,8.250581953293512,0.0,-67.35789009034191,23.59490571457402,23.61947183061057
43,23.973333333333336,8.250581953293512,0.0,-67.13641574924702,23.474368375489238,23.615936990022092
44,23.956666666666667,8.250581953293512,0.0,-66.92997295407858,23.585289755716754,23.613020100773632
45,23.939999999999998,8.250581953293512,0.0,-30.323349072550865,23.468167756338303,23.71128395290203
46,23.923333333333336,8.250581953293512,0.0,-95.65854902196865,23.64978342032522,23.69518733632195
47,23.906666666666666,8.250581953293512,0.0,-69.4811433843476,23.45689165935421,23.621053198635053
48,23.814999999999998,8.407829064902693,0.0,-31.946940656877313,23.94757136053458,24.070241285829674
49,23.673333333333332,8.407829064902693,0.0,-35.010112473724895,23.92674093540763,24.417029084515924
50,23.531666666666666,8.407829064902693,0.0,-35.81581220255777,24.459702809609393,24.592943278159833
51,23.389999999999997,8.407829064902693,0.0,-36.40279559021424,24.421293519419585,24.723544668576277
52,23.24833333333333,8.407829064902693,0.0,-4.685132868425695,24.854603450882163,24.962930933747806
53,23.106666666666666,8.407829064902693,0.0,-4.717447119281252,24.894148448899934,25.28484632366345
54,22.964999999999996,8.407829064902693,0.0,-4.7499780410538825,25.414340752147,25.54438882795877
55,22.823333333333334,8.407829064902693,0.0,-4.7846041342621985,25.44463908930987,25.7595172103966
56,22.681666666666665,8.407829064902693,0.0,-4.823527141323927,25.841557201941438,25.94078673009933
57,22.54,8.407829064902693,0.0,-4.865170063610563,25.863960177218424,26.09626839885981
58,22.398333333333333,8.407829064902693,0.0,-4.9084883539417286,26.158295202261023,26.231878958521673
